Order_ID,Date,Product,Category,Quantity,Price,City
1001,2026-01-01,Laptop,Electronics,2,55000,Lucknow
1002,2026-01-02,Mouse,Electronics,5,700,Delhi
1003,2026-01-03,Keyboard,Electronics,3,1200,Mumbai
1004,2026-01-04,Chair,Furniture,2,3500,Lucknow
1005,2026-01-05,Table,Furniture,1,8000,Delhi
1006,2026-01-06,Monitor,Electronics,2,15000,Mumbai
1007,2026-01-07,Printer,Electronics,1,9000,Lucknow
1008,2026-01-08,Desk,Furniture,2,6500,Delhi
1009,2026-01-09,Headphones,Electronics,4,2000,Mumbai
1010,2026-01-10,Webcam,Electronics,3,3000,Lucknow












































